origin_country,total_flights,avg_velocity,on_ground
Algeria,14,217.00357142857143,0
Antigua and Barbuda,1,151.13,0
Argentina,18,166.09722222222223,0
Australia,136,122.4066911764706,39
Austria,98,162.10163265306124,11
Azerbaijan,1,158.25,0
Bahrain,11,248.24818181818182,0
Bangladesh,13,129.41923076923078,0
Belarus,4,115.82499999999999,0
Belgium,42,152.0964285714286,7
Brazil,130,161.87769230769229,6
Brunei Darussalam,2,2.06,2
Bulgaria,12,218.52416666666667,0
Cambodia,1,275.72,0
Canada,131,143.42114503816794,34
Cape Verde,2,208.565,0
Chile,29,164.66172413793103,4
China,242,188.5230165289256,16
Colombia,12,59.82583333333334,5
Croatia,9,199.2288888888889,0
Cyprus,3,207.98666666666668,0
Czech Republic,24,129.56125,5
Côte d'Ivoire,1,296.88,0
Denmark,21,204.98857142857145,0
Egypt,38,205.9021052631579,0
Equatorial Guinea,1,205.83,0
Estonia,10,169.153,2
Ethiopia,9,203.5511111111111,1
Finland,38,183.5765789473684,4
France,175,165.24890804597703,14
Georgia,6,128.10166666666666,3
Germany,264,162.19681818181817,29
Greece,44,171.96704545454546,1
Guatemala,1,0.9,1
Hungary,49,198.00673469387755,3
Iceland,6,157.50166666666667,1
India,191,163.14450261780104,20
Indonesia,48,210.826875,0
Iraq,2,235.775,0
Ireland,259,192.6933590733591,9
Islamic Republic of Iran,3,187.64666666666665,0
Israel,34,192.3958823529412,1
Italy,32,127.28093750000001,1
Japan,177,180.06418079096045,21
Jordan,14,227.67142857142858,0
Kazakhstan,1,172.66,0
Kenya,3,179.74333333333334,1
Kingdom of the Netherlands,96,187.71979166666665,8
Kuwait,5,165.578,0
Latvia,19,207.21526315789475,1
Lebanon,2,238.55,0
Libyan Arab Jamahiriya,2,246.625,0
Lithuania,10,88.892,5
Luxembourg,20,204.8295,0
Malaysia,58,185.61189655172413,2
Maldives,1,237.27,0
Malta,142,179.7618309859155,14
Mauritania,1,237.85,0
Mauritius,1,78.85,0
Mexico,12,134.4375,4
Montenegro,2,155.885,0
Morocco,15,218.84333333333333,0
Myanmar,4,189.04,0
Nepal,2,152.695,0
New Zealand,13,118.32307692307693,4
Nigeria,2,97.615,0
Norway,40,166.62425000000002,0
Oman,10,223.039,0
Pakistan,4,260.75,0
Panama,12,184.17583333333334,2
Papua New Guinea,2,164.745,0
Philippines,39,116.63076923076925,9
Poland,114,166.60517543859652,7
Portugal,45,164.53355555555555,5
Qatar,85,218.35164705882352,0
Republic of Korea,113,191.1559292035398,6
Republic of Moldova,6,186.71166666666667,0
Romania,14,193.475,1
Russian Federation,43,167.87488372093023,0
Rwanda,2,200.56,0
San Marino,10,164.816,1
Saudi Arabia,35,214.06285714285713,1
Senegal,3,141.91,0
Serbia,10,150.169,1
Singapore,44,212.57636363636365,2
Slovakia,2,46.665,0
Slovenia,2,133.32,0
South Africa,23,172.75434782608696,0
Spain,188,177.62893617021277,11
Sri Lanka,3,215.15333333333334,0
Sweden,67,166.76805970149255,9
Switzerland,91,98.11956043956043,35
Syrian Arab Republic,2,206.01,0
Taiwan,62,181.4159677419355,8
Thailand,64,177.2534375,1
The former Yugoslav Republic of Macedonia,1,228.2,0
Tunisia,12,223.92583333333334,1
Turkey,261,196.0848275862069,9
Uganda,1,208.44,0
Ukraine,5,151.26600000000002,0
United Arab Emirates,170,195.56841176470587,7
United Kingdom,408,157.25708333333333,28
United Republic of Tanzania,1,52.57,0
United States,1398,163.75422031473533,178
Uzbekistan,11,192.82545454545453,0
Viet Nam,8,187.2775,1
