icao24,origin_country,velocity,on_ground
39de4f,France,219.99,False
aa8c39,United States,252.39,False
00b257,South Africa,89.5,False
88044a,Thailand,198.1,False
39de4b,France,243.65,False
39de4d,France,176.53,False
aa9321,United States,235.42,False
88044d,Thailand,215.74,False
39de57,France,203.13,False
e48d19,Brazil,167.95,False
880459,Thailand,133.88,False
3cf0b8,Germany,13.38,True
880452,Thailand,132.08,False
39de51,France,240.41,False
80162f,India,157.31,False
880458,Thailand,149.46,False
880457,Thailand,6.94,True
39de55,France,245.27,False
880456,Thailand,214.07,False
e49405,Brazil,220.89,False
39de54,France,11.32,True
4b1803,Switzerland,0.0,True
a34e6a,United States,220.25,False
4b1807,Switzerland,211.0,False
ae018a,United States,100.61,False
4b1800,Switzerland,0.0,True
4b1802,Switzerland,5.14,True
7c6b30,Australia,217.81,False
801657,India,233.37,False
7c6b39,Australia,221.82,False
00b22e,South Africa,229.94,False
7c6b38,Australia,164.13,False
880441,Thailand,234.46,False
7c6b37,Australia,170.97,False
ac2308,United States,181.96,False
a282e5,United States,6.69,True
8a02ea,Indonesia,238.8,False
4952ce,Portugal,217.64,False
a36898,United States,229.14,False
407a20,United Kingdom,105.5,False
801615,India,203.23,False
7c6b0c,Australia,1.54,True
ac96be,United States,212.38,False
489591,Poland,49.85,False
801623,India,230.29,False
4952d0,Portugal,204.18,False
801621,India,204.08,False
a1befc,United States,253.18,False
80160e,India,197.06,False
a21b44,United States,0.0,True
4b181c,Switzerland,81.9,False
4952c9,Portugal,232.15,False
47be7c,Norway,119.19,False
8a02e9,Indonesia,189.72,False
a1d8fd,United States,222.26,False
80161a,India,0.0,True
4952c2,Portugal,185.16,False
ad5628,United States,223.16,False
4952c3,Portugal,247.49,False
4952c4,Portugal,232.6,False
801626,India,182.1,False
4952c6,Portugal,200.17,False
e48d15,Brazil,59.24,False
4b180c,Switzerland,0.0,True
440db0,Austria,132.16,False
39de47,France,222.95,False
ac2f5a,United States,7.72,True
8a02cb,Indonesia,75.62,False
801632,India,5.14,True
7c6b17,Australia,7.72,True
39de40,France,214.18,False
80161e,India,231.07,False
4952ac,Portugal,234.73,False
39de42,France,138.89,False
4b180b,Switzerland,124.13,False
8a02d5,Indonesia,214.79,False
511187,Estonia,229.23,False
3c6668,Germany,199.97,False
44028c,Austria,242.48,False
8a02d3,Indonesia,213.88,False
511189,Estonia,3.34,True
4acb01,Sweden,224.21,False
4b1855,Switzerland,270.94,False
aaef89,United States,223.15,False
4acb03,Sweden,228.09,False
801685,India,155.69,False
4acb04,Sweden,190.45,False
3c664e,Germany,234.76,False
801683,India,80.77,False
a47597,United States,0.0,True
3c664d,Germany,0.0,True
801689,India,212.99,False
4bc8c8,Turkey,220.99,False
51116f,Estonia,225.61,False
4bc8c6,Turkey,214.04,False
40814a,United Kingdom,10.29,False
a9036a,United States,91.83,False
4bc8c7,Turkey,214.89,False
4bc8c4,Turkey,221.08,False
4bc8c2,Turkey,226.96,False
4bc8c3,Turkey,200.69,False
801680,India,179.43,False
4952a7,Portugal,205.67,False
3c6678,Germany,243.43,False
80167b,India,77.48,False
3dbc00,Germany,73.65,False
a2d2eb,United States,236.71,False
4952a1,Portugal,218.92,False
511171,Estonia,229.88,False
3c666e,Germany,192.41,False
511172,Estonia,220.94,False
511170,Estonia,231.63,False
e80267,Chile,3.34,True
440291,Austria,44.54,False
0a00c2,Algeria,211.56,False
e48120,Brazil,239.82,False
3c6671,Germany,236.48,False
4bc8d5,Turkey,225.93,False
3c6670,Germany,192.93,False
3c6676,Germany,224.42,False
4bc8d4,Turkey,68.49,False
80164b,India,195.09,False
3442cb,Spain,130.6,False
a34e9d,United States,0.06,True
4031ce,United Kingdom,52.51,False
a1b2ee,United States,251.33,False
471efa,Hungary,240.74,False
471eff,Hungary,202.78,False
471efc,Hungary,229.92,False
471efd,Hungary,242.99,False
40812e,United Kingdom,207.43,False
801662,India,68.0,False
801667,India,231.37,False
801665,India,258.41,False
801666,India,8.75,True
40812d,United Kingdom,230.67,False
51118a,Estonia,243.2,False
a34268,United States,165.43,False
7c6b3b,Australia,253.76,False
8744d4,Japan,11.32,True
aae377,United States,187.54,False
801669,India,203.81,False
511194,Estonia,237.28,False
801675,India,45.47,False
abf025,United States,229.45,False
e8027a,Chile,242.51,False
801671,India,266.55,False
aba149,United States,6.17,True
861f3c,Japan,244.85,False
abad94,United States,216.95,False
ae5ac8,United States,9.2,False
4acb42,Sweden,77.17,False
4acb45,Sweden,237.11,False
a7bbe9,United States,170.64,False
3c65a2,Germany,119.29,False
4b187b,Switzerland,225.29,False
4845c0,Kingdom of the Netherlands,70.94,False
4bb5d6,Turkey,224.67,False
8a040a,Indonesia,148.16,False
ab649a,United States,233.13,False
43ee82,United Kingdom,78.26,False
86cfa0,Japan,113.65,False
aba155,United States,276.96,False
3455d7,Spain,164.62,False
c082cb,Canada,256.68,False
8a0419,Indonesia,238.14,False
4b1884,Switzerland,5.66,True
e8020d,Chile,245.21,False
3c65c3,Germany,213.39,False
3c65c1,Germany,216.67,False
e8020e,Chile,173.86,False
470bc8,Hungary,193.27,False
4b1882,Switzerland,266.08,False
44b2cd,Belgium,38.2,False
4b186f,Switzerland,248.22,False
8686aa,Japan,158.57,False
a8f5be,United States,249.69,False
4bc8cd,Turkey,220.02,False
4bc8ce,Turkey,206.5,False
4bc8cb,Turkey,213.32,False
3c65d4,Germany,245.73,False
3c65d2,Germany,205.02,False
4bc8ca,Turkey,240.67,False
3c65d1,Germany,222.37,False
e8021f,Chile,3.86,True
3c65c5,Germany,244.04,False
a71295,United States,91.06,False
3c65c8,Germany,237.96,False
800371,India,6.43,True
3c5ee1,Germany,239.36,False
e80238,Chile,78.61,False
44b2b8,Belgium,195.42,False
3c65ce,Germany,221.27,False
80169d,India,239.79,False
3c65cd,Germany,239.32,False
80169e,India,134.59,False
3c5ef6,Germany,4.63,True
46b82d,Greece,243.33,False
3c5eec,Germany,178.05,False
3b7b3b,France,64.54,False
3c65d8,Germany,235.7,False
3c65d9,Germany,246.0,False
3c5ef0,Germany,224.55,False
3c65cc,Germany,237.05,False
3c65cb,Germany,229.44,False
a8dbbd,United States,183.99,False
440219,Austria,220.13,False
c0220d,Canada,253.22,False
46b831,Greece,168.0,False
a94b0b,United States,202.85,False
44020b,Austria,229.39,False
ac2f18,United States,208.84,False
a114f4,United States,75.62,False
a70b2f,United States,0.0,True
46b828,Greece,244.37,False
46b826,Greece,255.69,False
4cc2a6,Iceland,7.46,True
