date,open,high,low,close,volume,day,month,year,day_name,month_name,daily_return_pct,intraday_volatility_pct
1999-11-12,90.5,97.5,90.5,95.87,43569700,12,11,1999,Friday,November,5.933701657458569,7.734806629834254
1999-11-19,96.0,105.12,92.62,103.94,61550800,19,11,1999,Friday,November,8.270833333333332,13.020833333333334
1999-11-26,105.5,109.87,101.81,105.0,37165600,26,11,1999,Friday,November,-0.47393364928909953,7.639810426540286
1999-12-03,104.94,112.87,102.12,111.87,37670000,3,12,1999,Friday,December,6.603773584905667,10.243948923194205
1999-12-10,113.0,122.12,107.56,109.0,58626000,10,12,1999,Friday,December,-3.5398230088495577,12.88495575221239
1999-12-17,108.12,112.75,104.5,110.0,38810100,17,12,1999,Friday,December,1.7388087310395812,7.630410654827968
1999-12-23,109.06,110.44,107.75,108.62,18144100,23,12,1999,Thursday,December,-0.40344764349898926,2.4665321841188312
1999-12-31,109.69,110.75,106.62,107.87,16812500,31,12,1999,Friday,December,-1.6592214422463243,3.7651563497128224
2000-01-07,112.44,119.75,110.62,113.5,51137300,7,1,2000,Friday,January,0.9427250088936343,8.119886161508356
2000-01-14,117.25,123.31,115.37,119.62,42663900,14,1,2000,Friday,January,2.021321961620473,6.771855010660979
2000-01-21,119.69,124.75,112.69,121.5,41930500,21,1,2000,Friday,January,1.5122399532124675,10.076029743504055
2000-01-28,121.87,122.87,110.06,111.56,33325200,28,1,2000,Friday,January,-8.45983424961024,10.511200459506034
2000-02-04,111.37,118.44,109.12,115.62,32834200,4,2,2000,Friday,February,3.816108467271258,8.3685013917572
2000-02-11,116.0,119.75,113.12,115.37,26814500,11,2,2000,Friday,February,-0.5431034482758582,5.715517241379307
2000-02-18,116.0,118.87,111.5,112.5,26599300,18,2,2000,Friday,February,-3.0172413793103448,6.353448275862073
2000-02-25,112.0,113.44,104.94,108.0,34514300,25,2,2000,Friday,February,-3.571428571428571,7.5892857142857135
2000-03-03,104.62,110.0,99.5,108.0,51128300,3,3,2000,Friday,March,3.2307398203020408,10.036321926973809
2000-03-10,109.94,111.0,101.0,105.25,42586200,10,3,2000,Friday,March,-4.26596325268328,9.095870474804439
2000-03-17,104.0,111.69,102.5,110.0,36990400,17,3,2000,Friday,March,5.769230769230769,8.83653846153846
2000-03-24,110.0,122.25,109.94,120.62,38090900,24,3,2000,Friday,March,9.654545454545458,11.190909090909093
2000-03-31,125.0,128.25,117.06,118.37,44498000,31,3,2000,Friday,March,-5.303999999999996,8.951999999999998
2000-04-07,120.0,128.0,115.06,123.12,47344000,7,4,2000,Friday,April,2.6000000000000036,10.783333333333331
2000-04-14,124.75,125.37,102.87,105.0,42149600,14,4,2000,Friday,April,-15.831663326653306,18.03607214428858
2000-04-20,103.87,115.12,102.06,104.0,43482800,20,4,2000,Thursday,April,0.1251564455569418,12.573409069028596
2000-04-28,102.0,113.94,101.25,111.5,35488400,28,4,2000,Friday,April,9.313725490196079,12.441176470588234
2000-05-05,112.5,113.62,106.5,107.87,22151300,5,5,2000,Friday,May,-4.115555555555551,6.328888888888893
2000-05-12,108.06,110.62,102.06,104.44,33410400,12,5,2000,Friday,May,-3.3499907458819216,7.921525078660005
2000-05-19,104.0,109.25,102.0,106.44,29694500,19,5,2000,Friday,May,2.346153846153844,6.971153846153847
2000-05-26,106.0,112.25,103.44,106.94,31197000,26,5,2000,Friday,May,0.8867924528301865,8.311320754716983
2000-06-02,107.75,111.0,105.5,108.81,18535800,2,6,2000,Friday,June,0.9837587006960578,5.104408352668213
2000-06-09,108.44,122.31,108.44,119.69,37831000,9,6,2000,Friday,June,10.374400590188122,12.790483216525272
2000-06-16,119.12,120.44,113.25,113.25,26364000,16,6,2000,Friday,June,-4.927803895231703,6.035930154466083
2000-06-23,113.5,120.69,110.81,111.87,27864000,23,6,2000,Friday,June,-1.436123348017617,8.70484581497797
2000-06-30,113.0,115.75,108.62,109.56,32971500,30,6,2000,Friday,June,-3.0442477876106175,6.309734513274333
2000-07-07,108.75,109.87,100.0,105.06,38608400,7,7,2000,Friday,July,-3.3931034482758604,9.075862068965522
2000-07-14,104.69,105.94,101.0,103.94,25072200,14,7,2000,Friday,July,-0.7164008023688987,4.718693284936477
2000-07-21,104.44,117.81,101.0,114.75,52881600,21,7,2000,Friday,July,9.871696667943318,16.09536576024512
2000-07-28,114.12,115.62,108.87,111.81,28454700,28,7,2000,Friday,July,-2.0241850683491083,5.914826498422713
2000-08-04,110.5,116.5,110.06,115.87,24015800,4,8,2000,Friday,August,4.859728506787334,5.828054298642532
2000-08-11,116.62,121.81,115.56,120.62,29859300,11,8,2000,Friday,August,3.429943405933802,5.359286571771565
2000-08-18,120.0,123.69,119.31,120.44,23739400,18,8,2000,Friday,August,0.36666666666666475,3.6499999999999964
2000-08-25,121.06,129.88,119.87,129.0,24522100,25,8,2000,Friday,August,6.558731207665619,8.268627127044432
2000-09-01,129.88,134.94,129.56,133.63,30751200,1,9,2000,Friday,September,2.8872805666769326,4.142285186325836
2000-09-08,132.81,134.88,129.38,129.5,20201600,8,9,2000,Friday,September,-2.4922822076650872,4.141254423612679
2000-09-15,127.87,129.19,122.75,125.0,28000200,15,9,2000,Friday,September,-2.2444670368342883,5.036365058262296
2000-09-22,125.25,126.69,120.0,123.87,22129500,22,9,2000,Friday,September,-1.1017964071856252,5.341317365269459
2000-09-29,124.5,126.62,110.25,112.62,31360800,29,9,2000,Friday,September,-9.542168674698793,13.148594377510046
2000-10-06,112.62,119.62,108.56,116.0,43940700,6,10,2000,Friday,October,3.001243118451425,9.820635766293732
2000-10-13,115.94,119.37,103.12,109.06,38085500,13,10,2000,Friday,October,-5.934103846817315,14.015870277729862
2000-10-20,111.5,113.87,90.25,94.75,73706800,20,10,2000,Friday,October,-15.022421524663676,21.183856502242158
2000-10-27,94.75,95.0,86.94,93.69,48790400,27,10,2000,Friday,October,-1.118733509234831,8.506596306068603
2000-11-03,93.5,102.62,90.31,100.12,39746400,3,11,2000,Friday,November,7.080213903743321,13.16577540106952
2000-11-10,99.87,103.75,93.0,93.0,32715700,10,11,2000,Friday,November,-6.878942625413041,10.763993191148492
2000-11-17,91.81,102.5,91.62,101.94,29453200,17,11,2000,Friday,November,11.03365646443742,11.850560941073953
2000-11-24,101.5,104.37,98.31,99.94,22641900,24,11,2000,Friday,November,-1.536945812807884,5.9704433497536975
2000-12-01,100.44,102.0,92.25,95.62,32366400,1,12,2000,Friday,December,-4.798884906411781,9.707287933094385
2000-12-08,96.0,104.75,93.12,97.0,37530500,8,12,2000,Friday,December,1.0416666666666665,12.114583333333329
2000-12-15,96.5,98.25,87.31,87.81,41477400,15,12,2000,Friday,December,-9.005181347150257,11.336787564766837
2000-12-22,88.37,94.44,80.06,89.0,50218000,22,12,2000,Friday,December,0.7129116215910325,16.27249066425257
2000-12-29,89.0,89.56,82.12,85.0,31039700,29,12,2000,Friday,December,-4.49438202247191,8.35955056179775
2001-01-05,84.5,99.75,83.75,94.0,44240800,5,1,2001,Friday,January,11.242603550295858,18.93491124260355
2001-01-12,93.5,96.44,91.25,93.81,37351000,12,1,2001,Friday,January,0.33155080213903987,5.5508021390374305
2001-01-19,93.75,113.94,91.81,111.25,55406000,19,1,2001,Friday,January,18.666666666666668,23.605333333333327
2001-01-26,109.5,115.25,107.62,114.19,40283600,26,1,2001,Friday,January,4.283105022831048,6.9680365296803615
2001-02-02,112.5,116.75,109.6,110.27,32690400,2,2,2001,Friday,February,-1.9822222222222259,6.3555555555555605
2001-02-09,109.4,118.2,109.3,112.0,36346600,9,2,2001,Friday,February,2.3765996343692817,8.135283363802564
2001-02-16,110.55,118.64,110.3,115.0,36127100,16,2,2001,Friday,February,4.025327905924923,7.5440976933514285
2001-02-23,114.55,115.6,100.25,104.0,42890800,23,2,2001,Friday,February,-9.209951986032298,13.400261894369267
2001-03-02,105.8,107.65,97.5,102.3,59912700,2,3,2001,Friday,March,-3.308128544423441,9.593572778827983
2001-03-09,102.81,108.4,97.9,99.29,46134500,9,3,2001,Friday,March,-3.423791459974707,10.213014298220017
2001-03-16,97.9,98.9,88.2,90.1,69318700,16,3,2001,Friday,March,-7.967313585291125,10.929519918283965
2001-03-23,91.0,94.99,87.65,93.51,56911400,23,3,2001,Friday,March,2.758241758241764,8.065934065934053
2001-03-30,95.25,100.0,93.75,96.18,52337900,30,3,2001,Friday,March,0.9763779527559127,6.561679790026247
2001-04-06,97.45,100.0,90.05,97.95,61562900,6,4,2001,Friday,April,0.513083632632119,10.210364289379172
2001-04-12,98.5,101.94,93.8,96.2,40874500,12,4,2001,Thursday,April,-2.335025380710657,8.263959390862945
2001-04-20,96.2,116.4,95.2,114.83,77541600,20,4,2001,Friday,April,19.36590436590436,22.03742203742204
2001-04-27,114.01,116.9,111.68,116.2,38874700,27,4,2001,Friday,April,1.92088413297079,4.578545741601612
2001-05-04,116.4,118.95,111.2,115.86,40113600,4,5,2001,Friday,May,-0.4639175257732013,6.658075601374571
2001-05-11,116.2,118.9,110.96,111.81,37758700,11,5,2001,Friday,May,-3.7779690189328745,6.8330464716006984
2001-05-18,111.2,117.68,111.0,117.44,32527500,18,5,2001,Friday,May,5.611510791366902,6.007194244604323
2001-05-25,117.95,119.9,117.1,117.8,34172800,25,5,2001,Friday,May,-0.12717253073336643,2.3738872403560927
2001-06-01,117.35,117.59,111.64,112.89,27279700,1,6,2001,Friday,June,-3.8005965061780946,5.0703025138474676
2001-06-08,113.25,119.0,112.85,116.1,29113600,8,6,2001,Friday,June,2.5165562913907236,5.430463576158946
2001-06-15,116.3,118.47,113.38,113.6,39520000,15,6,2001,Friday,June,-2.3215821152192633,4.376612209802238
2001-06-22,113.98,117.25,111.36,112.87,33926900,22,6,2001,Friday,June,-0.9738550622916295,5.167573258466398
2001-06-29,113.75,116.95,111.1,113.5,35230300,29,6,2001,Friday,June,-0.21978021978021978,5.14285714285715
2001-07-06,113.5,115.4,105.81,106.5,25362500,6,7,2001,Friday,July,-6.167400881057269,8.44933920704846
2001-07-13,106.5,109.3,101.56,108.53,45082800,13,7,2001,Friday,July,1.9061032863849774,7.2676056338028125
2001-07-20,108.53,109.38,103.03,105.7,48299000,20,7,2001,Friday,July,-2.607573942688656,5.850916797198926
2001-07-27,105.7,106.95,102.73,104.7,32638300,27,7,2001,Friday,July,-0.9460737937559129,3.992431409649951
2001-08-03,104.9,110.09,104.76,108.18,25049100,3,8,2001,Friday,August,3.1267874165872267,5.08102955195424
2001-08-10,107.25,107.37,102.7,104.95,26622100,10,8,2001,Friday,August,-2.144522144522142,4.354312354312356
2001-08-17,105.0,106.85,103.66,104.59,29688900,17,8,2001,Friday,August,-0.3904761904761872,3.0380952380952357
